Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_ltv,manual_predicted_ltv,CLV
Bates Technical College,4.0,628.0,1645.0,3455.575,0.12493958078446364,0.0,3512.4456637426865,22.392629787025683,0.0,5.822083744626678
Beacon Avenue Elem School,2.0,797.0,1773.0,295.0,0.47207288752892046,0.0,309.823423321846,3.829157689525886,0.0,0.9955809992767304
Beacon Hill International ES,1.0,1076.0,1891.0,170.0,0.6825315608179077,0.0,192.39279628156964,1.9131601305701311,0.0,0.49742163394823413
Beatty Elementary School,7.0,387.0,2124.0,514.7857142857143,0.00010559917272456928,0.0,520.8835253042407,0.003683990552819023,0.0,0.000957837543732946
Beaverton School District,2.0,224.0,1365.0,620.0,0.11374218898829967,0.0,645.1814714379605,2.457851202382424,0.0,0.6390413126194302
Bellevue School District 405,6.0,1582.0,1646.0,118887.86666666665,0.8759105883171585,0.0,120126.38057279642,7773.681616197743,0.0,2021.1572202114132
Belt School District 26,2.0,1869.0,2046.0,1467.1100000000001,0.8166144053275944,0.0,1519.2896441753194,28.341416966923465,0.0,7.368768411400101
Benjamin Franklin Elementary School,4.0,1467.0,1888.0,712.5,0.71422024620186,0.0,726.3441527201169,23.231664532027846,0.0,6.0402327783272405
Benjamin Rush Elem School,7.0,1486.0,1907.0,1440.2857142857142,0.6283260986179176,0.0,1454.623523361884,67.83431809917722,0.0,17.63692270578608
Bertschi School,12.0,829.0,920.0,2998.6633333333334,0.8143885489833651,0.0,3015.0598002611177,598.4751788779182,0.0,155.60354650825875
Big Lake Elementary School,2.0,190.0,2095.0,403.5,0.034558707508525126,0.0,421.78141784676416,0.3255255508600524,0.0,0.08463664322361363
Billinghurst Middle School,9.0,1564.0,2033.0,2775.017777777778,0.52309871521747,0.0,2795.3718672260607,129.4913213113273,0.0,33.667743540945104
Biola Pershing Elementary,2.0,133.0,1897.0,839.5,0.025162823088988675,0.0,871.6771377809977,0.5385104163105044,0.0,0.14001270824073117
Bishop Blanchet High School,5.0,1480.0,1529.0,2561.92,0.8729162821612344,0.0,2596.0953768834033,151.67496844662392,0.0,39.43549179612222
Blaine County School District #61,1.0,35.0,2178.0,594.96,0.06462453865339855,0.0,645.332257386924,0.5308661183452129,0.0,0.13802519076975536
Bohach Elementary School,2.0,71.0,218.0,18600.5,0.5274093590675771,0.0,19198.736499597326,1578.9693608505934,0.0,410.5320338211543
Brea Olinda High School,2.0,456.0,1543.0,2012.0,0.27322483785595003,0.0,2081.54578829221,16.979424369940176,0.0,4.414650336184446
Brekke School,3.0,1155.0,2054.0,3049.6666666666665,0.49448254540689496,0.0,3117.3589791627223,49.39773123720835,0.0,12.843410121674172
Bremerton School District 100-C,5.0,1259.0,2144.0,24422.0,0.3419335022131555,0.0,24729.626612427215,410.7385027112742,0.0,106.79201070493129
Bret Harte Union High School,3.0,512.0,1919.0,953.0,0.09066568216209359,0.0,976.6121443616246,3.027511580231712,0.0,0.7871530108602451
Bret Harte Union High School District,15.0,1807.0,1816.0,9892.866666666667,0.939977675070478,0.0,9934.479426474189,1504.0994312881014,0.0,391.0658521349064
Brookings Harbor High School,1.0,44.0,976.0,339.0,0.1857214903050481,0.0,372.5197939444199,1.8695923978014146,0.0,0.4860940234283678
Bud Beasley Elementary School,9.0,1329.0,2178.0,2153.1111111111113,0.12124472819981169,0.0,2169.167135132173,21.8079894432378,0.0,5.670077255241829
Bush School,3.0,421.0,555.0,4153.5,0.7404425586349809,0.0,4244.3992245433,332.3062283970585,0.0,86.3996193832352
Calaveras County Office of Education,6.0,1173.0,2155.0,866.8333333333334,0.18033143214830574,0.0,877.6202331346997,9.052146823571386,0.0,2.3535581741285605
Calexico High School,2.0,21.0,581.0,4349.5,0.06191102421244425,0.0,4493.544057435033,20.1116200979881,0.0,5.229021225476907
Calexico Unified School District,2.0,792.0,1352.0,1213.5,0.622794797317605,0.0,1257.5968608438493,26.46797650024685,0.0,6.881673890064181
Camerado Springs Middle School,2.0,273.0,1990.0,395.5,0.07096847951974279,0.0,413.52645050852135,0.688396998058956,0.0,0.17898321949532858
Campus Security Solutions,2.0,321.0,1884.0,470.0,0.10535153256840145,0.0,490.4008338459076,1.2767725488488604,0.0,0.3319608627007037
Cantua Elementary School,3.0,553.0,2102.0,4766.39,0.08481584023220635,0.0,4870.174579510507,12.948079716332648,0.0,3.3665007262464886
Cardinal Newman High School,1.0,49.0,1808.0,2085.0,0.09451756541808194,0.0,2233.4768230529207,3.209811624498529,0.0,0.8345510223696175
Carl Sandburg Elem School,1.0,1779.0,1906.0,1550.0,0.8080644778930136,0.0,1663.252303824371,19.434580255208385,0.0,5.05299086635418
Casa Roble Fundamental High School,1.0,792.0,2075.0,297.0,0.5579111567985999,0.0,327.7545045844216,2.4381625106275666,0.0,0.6339222527631674
Cascade Electri/Comm LLC,20.0,2067.0,2144.0,5258.736500000001,0.9119001575499597,0.0,5275.556270508389,875.6094342884934,0.0,227.6584529150083
Caughlin Ranch Elementary School,4.0,265.0,1073.0,1759.75,0.03537565098979774,0.0,1790.020795691376,4.809844228396371,0.0,1.2505594993830564
Cedar Crest Academy,9.0,1666.0,2107.0,882.8666666666666,0.582806894287091,0.0,890.1438915150983,44.40108366340147,0.0,11.544281752484384
Cedar River Middle School,4.0,1006.0,2134.0,1029.25,0.23721079139770598,0.0,1048.0625357816077,9.906181748245427,0.0,2.575607254543811
Central High School,1.0,700.0,1746.0,2150.0,0.5772948354255235,0.0,2302.7564375386323,20.893950018138533,0.0,5.432427004716018
Central Kitsap School District 401,12.0,1021.0,2107.0,45043.0625,0.002907733092329911,0.0,45277.0131845241,14.840258571376568,0.0,3.858467228557908
Central Point Elementary School,3.0,447.0,2044.0,2145.6666666666665,0.05174598913797433,0.0,2194.353348641168,3.6557486902036964,0.0,0.9504946594529611
Central Primary Center,2.0,84.0,2165.0,2205.42,0.010178447034505982,0.0,2281.130261112576,0.5024725893498245,0.0,0.1306428732309544
Central Unified School District,4.0,441.0,2143.0,2532.2,0.011971280181284568,0.0,2574.5870624501713,1.2231647775481005,0.0,0.31802284216250615
Central Washington University,3.0,1310.0,2186.0,2647.6666666666665,0.5440499848457557,0.0,2706.9073602803496,44.46461148458045,0.0,11.560798985990917
Cesar Chavez Elementary School,1.0,426.0,2177.0,3165.0,0.35190638841638844,0.0,3384.5842637385917,15.16798238351445,0.0,3.9436754197137573
