Customer,frequency,recency,T,monetary_value,probability_alive,pred_num_txn
Columbia Elementary School,6.0,959.0,2033.0,436.8333333333333,0.08692841217060171,0.0
Columbia High School,1.0,100.0,1760.0,667.0,0.1458874951359295,0.0
Columbia School District 400,4.0,1736.0,1911.0,2448.5,0.8283009067622242,0.0
Committee for Children,0.0,0.0,1086.0,0.0,1.0,0.0
Communication Resources,0.0,0.0,904.0,0.0,1.0,0.0
Computer Classrooms In Seattle,4.0,1764.0,2144.0,1460.5,0.7597512308226222,0.0
Conejo Elementary School,4.0,255.0,2005.0,438.0,0.002347388674657236,0.0
Conley Engineering,0.0,0.0,86.0,0.0,1.0,0.0
Connell High School,0.0,0.0,969.0,0.0,1.0,0.0
Construction Industry Training Council,14.0,1406.0,1913.0,4693.46,0.19031411336103152,0.0
Conway School District 317,2.0,1025.0,1179.0,2046.75,0.8003524905188668,0.0
Conyers Adventist Academy,1.0,104.0,562.0,2300.0,0.44353505992322456,0.0
Copperopolis Elementary School,3.0,295.0,1654.0,655.6666666666666,0.03350078685998328,0.0
Coral Academy Of Science Elementary School,0.0,0.0,2046.0,0.0,1.0,0.0
Coral Academy Of Science High School,1.0,3.0,1928.0,4076.0,0.050411500584570175,0.0
Core Construction,0.0,0.0,1800.0,0.0,1.0,0.0
"Cornerstone General Contractors, INC.",1.0,264.0,1779.0,1275.0,0.29363290107367823,0.0
Cornish College of the Arts,1.0,7.0,647.0,1721.92,0.19532068562724778,0.0
Coronita Elementary School,0.0,0.0,2018.0,0.0,1.0,0.0
Cottonwood Elementary School,2.0,175.0,247.0,8370.0,0.7530563188713333,0.0
Cougar Creek Elementary School,7.0,1422.0,2045.0,2781.6428571428573,0.4300250106720357,0.0
Cougar Ridge Elementary School,0.0,0.0,1696.0,0.0,1.0,0.0
Covenant High School,0.0,0.0,469.0,0.0,1.0,0.0
Crater High School Technology,0.0,0.0,1822.0,0.0,1.0,0.0
Creative Science School,0.0,0.0,1729.0,0.0,1.0,0.0
Credit Union 1,0.0,0.0,409.0,0.0,1.0,0.0
Creekside Elementary School,0.0,0.0,1368.0,0.0,1.0,0.0
Creekside Junior High School,0.0,0.0,1394.0,0.0,1.0,0.0
Crosspoint Academy,0.0,0.0,1232.0,0.0,1.0,0.0
Crossroads Christian School,4.0,799.0,2004.0,1632.75,0.13800887333611112,0.0
Curren K-8 School,3.0,731.0,1854.0,271.6666666666667,0.24582070754229884,0.0
Custom Dental and Aesthetics,1.0,15.0,1515.0,1050.0,0.08115576991601291,0.0
Cypress Elementary School,2.0,379.0,1774.0,18350.0,0.15776372629424104,0.0
Cypress School District,2.0,37.0,1038.0,1747.5,0.02513919706320985,0.0
Dallas School District 2,2.0,686.0,1248.0,4570.155,0.5917073064138884,0.0
Damonte Ranch High School,28.0,2131.0,2141.0,8028.53,0.9612567834626995,0.0
Davis Middle School,0.0,0.0,2038.0,0.0,1.0,0.0
Dayton Elementary School,15.0,1679.0,2134.0,2017.6,0.3288525721845133,0.0
Dayton High School,6.0,1356.0,1527.0,4164.333333333333,0.813891851106235,0.0
Dayton Intermediate School,11.0,1611.0,1871.0,1729.9363636363635,0.7237122165066087,0.0
Dearborn Park Elem School,2.0,457.0,1949.0,601.5,0.17984836050219952,0.0
Del Dayo Elementary School,3.0,958.0,2044.0,1934.3333333333333,0.354296927435054,0.0
Del Mar Union School District,0.0,0.0,913.0,0.0,1.0,0.0
Dennis McKinna Elementary School,3.0,1156.0,2185.0,763.0,0.4442819196667491,0.0
Depoali Middle School,5.0,1543.0,1952.0,2198.4,0.7060743889912064,0.0
Desert Heights Elementary School,6.0,1309.0,1760.0,1311.1666666666667,0.5972349929872266,0.0
Desert Pathways High School,1.0,35.0,661.0,3548.0,0.2549718624312268,0.0
Desert Skies Middle School,4.0,567.0,751.0,90990.6125,0.707075110616214,0.0
Dewey High School,2.0,903.0,1690.0,30.0,0.5686251241317243,0.0
Dieringer Heights Elem School,2.0,34.0,561.0,12368.94,0.08546645213545373,0.0
Dieringer School District 343,4.0,386.0,547.0,1918.6775,0.6643101674188571,0.0
Dimensional Communications,0.0,0.0,1365.0,0.0,1.0,0.0
Dinuba High School,0.0,0.0,1512.0,0.0,1.0,0.0
Dinuba Unified School District,7.0,971.0,1940.0,5352.857142857143,0.07268605983902657,0.0
Discovery Elementary School,1.0,210.0,1557.0,4843.0,0.2818996593743537,0.0
Dixie School District,3.0,138.0,1246.0,30128.333333333332,0.013983438581402507,0.0
Donner Springs Elementary School,6.0,722.0,2185.0,3464.3333333333335,0.011535588225438532,0.0
Dorothy Lemelson STEM Academy,5.0,1078.0,2164.0,702.4,0.18412359700579126,0.0
Double Diamond Elementary,14.0,1356.0,2164.0,2556.8571428571427,0.02543308709166615,0.0
Dry Creek Elementary School,2.0,82.0,2149.0,1511.25,0.01006774132233181,0.0
Dufur School District 29,1.0,15.0,876.0,298.0,0.15555059519349948,0.0
E Otis Vaughn Middle School,9.0,1026.0,2082.0,952.2222222222222,0.020977799367082772,0.0
Eagle Point Middle School,0.0,0.0,1879.0,0.0,1.0,0.0
Earl Wooster High School,7.0,1055.0,1940.0,1802.142857142857,0.12151347963950208,0.0
East Valley School District 361,1.0,252.0,1428.0,13065.9,0.34823880223735726,0.0
East Valley School District 90,0.0,0.0,115.0,0.0,1.0,0.0
Eastlake High School,3.0,1447.0,1917.0,1300.0,0.7175586024105925,0.0
Eastmont Community School,0.0,0.0,792.0,0.0,1.0,0.0
Easton School District 28,0.0,0.0,2095.0,0.0,1.0,0.0
Eastside Catholic School,3.0,1100.0,1471.0,700.0,0.7143199315161963,0.0
Eastside High School,16.0,1080.0,1438.0,22506.348125,0.17952732876059627,0.0
Eatonville School District 404,0.0,0.0,1681.0,0.0,1.0,0.0
Echo Loder Elementary School,10.0,1529.0,1746.0,13221.7,0.7702450413560282,0.0
Edmonds Community College,0.0,0.0,567.0,0.0,1.0,0.0
Edmonds School District 15,3.0,772.0,920.0,1633.1333333333332,0.7868010976395234,0.0
Edward C Reed High School,17.0,2121.0,2123.0,1378.0258823529414,0.9481956976426121,0.0
Edward Pine Middle School,10.0,1358.0,1564.0,1964.0,0.756572497530425,0.0
